release	have	want
29697871	40	8
24737066	1	0
8395683	38	4
12178331	2	1
25877461	4	10
31224016	0	0
26184836	3	0
29198137	0	0
15979080	6	1
24987967	0	0
8682862	19	2
10468276	3	2
28122598	11	2
7211583	5	1
8664731	5	2
26993940	1	0
33567507	2	1
5130269	50	29
24333593	119	15
11308895	0	0
29718196	0	0
7433064	4	1
14258998	112	17
27934704	6	1
16751235	0	0
14949270	5	2
12218791	3	2
30769917	1	1
5399466	152	514
5212829	131	12
10563953	9	2
14044558	1	3
14997391	0	0
21030241	3	13
11788316	2	3
8447056	1	0
32771262	3	0
7470595	9	22
25951876	0	0
33285927	1	4
11056015	0	0
17360758	0	3
24471536	3	3
14502402	1	4
25215760	12	2
27342924	1	0
9571781	4	2
32063853	1	0
5986850	27	7
32752776	29	3
19775371	2	2
16217853	5	0
33817710	0	1
25804435	1	2
29149666	3	1
6710333	0	0
12583963	407	487
28027548	11	3
13187564	5	46
7064788	34	30
12420006	8	7
15649784	2	5
12519949	0	0
10763304	13	35
5792419	9	92
13681923	7	1
5789924	2	1
16418643	36	52
14869333	3	1
13205853	4	2
11424525	34	91
17233348	0	0
14507007	8	0
11702132	8	3
4872535	27	7
19803961	8	73
6192947	45	2
5350675	24	9
7335822	20	19
33109653	0	0
25896064	0	0
35484721	0	0
12081939	1	1
5601730	16	4
25236577	45	8
8282000	2	1
12204152	13	5
23014043	3	4
15031826	4	0
23202881	1	4
27995871	1	0
30473606	4	1
18207346	5	1
30927033	5	21
14587608	0	1
25849192	4	1
8198060	110	35
15983970	1	0
13151774	16	28
27395754	1	1
11241631	3	3
16706694	23	19
7085439	11	0
6085606	17	4
29071093	1	1
5064003	125	141
10643730	5	6
27975810	2	5
8557000	3	1
11108504	18	17
9219870	4	4
4859309	13	4
27234309	2	0
9518749	14	10
34107406	1	0
20412493	1	4
28610926	5	10
17505601	5	21
7183663	30	12
4767042	47	74
12202848	6	1
15728767	5	0
15495198	12	7
4837705	10	47
27274824	6	0
15601451	126	149
35130167	0	1
32060772	0	0
19561039	2	1
10657872	4	8
28635595	1	1
26196638	1	13
13366649	4	0
13916071	4	7
21807394	1	3
32219832	0	0
11408216	1	0
9447798	8	1
12735211	9	11
13580250	1	6
33782763	1	0
23905379	29	15
13152798	1	3
10130171	5	0
12190993	1	0
6034047	40	16
19727887	0	1
16404015	0	0
11894215	2	0
26333462	11	25
11401494	7	1
16998738	0	0
11261980	4	2
10807444	29	6
13648062	15	5
5787268	23	52
20226175	3	9
34573750	41	30
12400667	13	11
9064192	79	2
25592458	5	1
7262046	41	2
33993999	2	0
23163197	2	0
6708046	1	1
10403495	1	1
24774728	0	0
27725394	0	0
10104933	4	1
7510527	576	127
11224165	31	35
15402390	0	0
15017661	1	0
8079514	6	4
16265219	2	0
14128651	4	12
14975855	0	0
20136061	4	0
11977033	3	0
4832577	13	11
19917775	217	26
23760536	4	0
14080317	2	15
12524984	0	0
16196122	5	2
27065262	1	3
28646557	1	3
10321456	23	142
12588840	4	6
9494345	56	3
10853910	19	3
9961897	0	1
13336545	7	8
20985520	1	0
12825819	0	2
23287346	40	11
8530016	19	17
7855769	10	6
15206191	9	0
13399228	1	3
6409542	4	20
26468540	2	19
12559938	1	0
14245842	29	17
5301070	44	7
24184466	4	2
5383919	24	20
6113303	4	3
12234663	13	3
22078111	45	9
15325882	0	0
8233611	12	1
25489219	1	0
26016733	3	0
11054008	32	7
6556136	0	3
9839994	16	15
16038547	230	247
32720760	2	0
24104084	2	0
19753333	2	1
6959901	450	205
22932179	0	0
9787778	7	5
14673015	20	12
15375111	5	29
30742789	1	0
5855863	89	121
13323950	1	14
16901097	0	1
29042425	0	0
9980082	31	6
7072634	33	36
9006910	4	0
10851579	1	12
32132340	195	136
9434019	0	0
31464917	3	6
15348976	2	0
22589318	7	0
19048687	0	0
5186170	76	6
28824196	0	0
12086275	2	7
12498043	3	5
13839259	2	0
29440516	3	2
34626916	0	2
10872189	16	47
11997264	0	0
15419843	0	0
9933878	15	7
16199878	1	2
34483894	0	1
25669642	5	6
12019266	4	77
4929392	7	8
11968268	29	73
13758231	382	293
13865842	0	2
10016316	3	2
13192932	4	1
17650780	2	89
13913041	11	1
33664614	0	0
12753698	93	88
12764750	3	0
19470256	178	23
10898855	1	0
18421159	1	0
22864061	0	2
7863439	52	75
17730721	1	2
20577238	0	0
13792494	510	161
10062080	5	11
30714836	0	0
21800146	15	12
29594113	0	0
32287932	3	1
13070295	19	1
31670054	1	0
6399365	0	0
14757057	0	0
22111414	0	0
25540459	0	0
10507209	0	9
13291978	0	0
13271528	0	0
7351656	20	1
5225864	31	4
7087822	7	5
12009823	0	1
16298312	1	1
29542963	0	0
14281930	43	8
11813576	38	6
15807831	6	0
17754775	2	0
28132636	11	2
24964744	124	30
25496536	0	0
31047571	3	1
30821895	1	0
7383111	17	5
11539612	65	1
16175423	0	6
27960258	3	3
11154010	91	22
11616291	3	0
13820664	11	1
30545941	4	0
30068887	1	4
20672374	2	1
14216394	12	76
12876047	4	2
6460722	489	325
5330267	155	20
29938957	2	0
13100973	0	0
5088780	11	161
5917023	12	1
12502995	4	1
8398997	50	47
6000090	28	23
12514787	0	5
12450255	9	18
10257175	1	5
30456113	3	0
13122280	89	27
6619439	6	4
12443438	15	9
11903105	10	3
30281216	1	1
21126589	1	0
35180026	1	0
10999362	2	12
13722317	44	13
13201354	2	0
17510437	3	10
21423262	21	11
28735108	1	1
13656126	2	1
8621225	28	3
14321839	3	0
18909181	6	2
5027598	13	9
15637385	9	5
8341035	21	2
5512127	1	28
14038105	2	0
18272815	1	0
20045293	3	29
11979382	4	2
33156138	2	0
8610301	6	38
19673212	3	0
26932409	0	0
20365138	9	0
6516027	349	252
21610897	1	0
15686211	9	11
24254420	31	4
22501526	3	1
4800098	6	0
28183414	0	1
22704194	1	0
23951801	0	0
5490254	1	6
6279859	15	30
11403364	5	15
18580231	1	3
31884151	25	3
5006221	31	87
17237662	3	6
19589536	53	80
8218957	0	0
31513481	4	0
25224265	0	0
26858045	1	1
18002746	10	1
8527818	2	1
28274647	1	0
9157950	1	0
6823767	38	12
5845124	18	4
8200480	198	29
13490249	10	9
25175287	2	1
15835160	0	0
15984980	28	11
14750374	3	0
4769577	9	32
8170786	36	101
13788377	6	1
14914887	3	1
34969757	1	2
15843077	18	2
8049239	3	0
32012303	0	0
16589040	0	1
7086003	3	3
14316188	1	12
33825966	0	0
6211749	35	21
11280688	0	1
4712594	38	12
7943823	0	0
20576446	181	55
12161523	1	0
17978806	35	35
5053238	38	4
8154096	11	2
11841893	18	12
7932081	83	39
8627949	12	6
6339430	12	0
7474245	5	3
30232325	1	1
7671368	3	5
21880114	11	1
4935782	62	9
4801398	8	12
31577479	48	20
17479993	2	7
26512628	8	3
5700936	24	2
15061781	2	1
5980539	99	2
23410727	1	0
14268412	3	0
15343696	4	2
11743138	1	0
9743069	5	3
9223383	5	3
9951192	25	4
33830142	1	0
16100797	3	5
6459006	19	54
18644881	2	0
29331259	1	0
18813430	0	18
14336939	2	1
4897535	0	0
7335648	14	3
11910602	65	3
6478839	22	30
17165857	0	0
8836673	49	3
20190055	2	1
6890563	26	12
22467676	1	15
7913137	5	0
14466894	2	6
6111574	11	0
6403935	21	22
14315721	3	9
20104876	92	28
14808860	0	0
23398928	5	4
6362714	17	9
12994368	33	4
9764788	14	113
10820129	4	1
4865608	91	2
15395769	1	0
8645805	49	8
8623203	27	33
34511605	5	3
25006405	92	41
19775764	1	1
12663129	0	1
11352074	2	5
18794485	23	12
9328740	79	15
14010000	26	63
31890859	3	0
6861937	4	5
11283830	3	16
9937010	2	0
8447132	9	11
19067380	0	0
6581300	2	6
15348823	4	0
7873552	17	0
9205649	23	17
33126189	98	52
33907428	2	10
31571530	1	2
12321108	8	1
14983109	3	1
4753479	5	1
15312749	7	0
9382674	18	5
13958432	0	0
26065414	3	0
7262924	5	16
7998889	13	7
6201434	65	16
22108951	0	0
27445764	16	92
11944603	1	3
7769295	19	16
5372223	9	2
8375875	1	9
6521848	0	4
12242889	137	12
29220568	1	0
31239349	0	0
22304629	0	0
7496892	9	2
10573221	7	24
12828158	6	2
6816769	2	3
15928106	0	35
6850453	49	10
9875656	6	10
14637366	3	0
11664544	5	0
9508821	1	1
30651880	6	2
32951526	2	0
11125016	31	20
5732983	52	6
5911839	18	1
15761230	6	2
5183500	14	3
23588813	109	55
24214979	1	0
9007843	6	0
28655062	0	0
22516256	0	0
10016175	2	0
7528822	17	7
28044690	1	1
15694011	13	2
19018354	5	12
25195306	0	0
8756290	22	34
7849450	5	1
15072520	0	0
9019467	9	10
11953646	1	3
14382853	1	2
34421710	1	0
14026870	0	6
11632159	4	9
14849103	1	3
8996132	28	252
35534134	0	0
24531824	88	12
29117590	1	1
16620639	1	14
8511579	2	7
17923543	0	0
12778199	5	4
26549336	0	0
12457634	22	20
5840777	18	9
19847977	0	0
13528765	15	1
5894515	447	245
23890433	9	5
7498131	10	3
5815080	12	1
9866134	16	3
12903970	1	0
30562174	0	1
12114730	63	169
15448744	0	1
4931692	400	28
10144975	3	1
27595311	7	41
20320087	1	1
6410947	0	16
5189602	11	4
11696359	6	9
4980686	175	139
15653580	7	1
26359673	7	0
27038682	1	2
6292822	4	9
6331243	11	2
7976944	43	61
6210808	1791	254
10943024	26	5
19175941	66	8
21178267	1	0
26797790	2	1
24156773	7	0
13527546	7	42
33946485	10	1
15205791	4	2
10688601	8	19
10836975	5	6
8649409	43	4
11333208	33	3
14720474	0	0
19139284	152	28
10525074	2	0
15158991	82	14
7460935	27	10
27320595	0	0
25421266	4	0
29276662	15	13
14560064	20	1
34617256	1	0
21290146	3	5
19189171	19	16
14407545	136	47
7563593	2	2
10797198	6	1
22303531	276	20
7978798	9	2
14419091	24	24
15635572	3	2
13365024	1	0
5640964	0	0
11763129	15	2
6578985	50	3
28017462	2	0
14979650	61	2
11267026	87	189
13069646	1	1
10756575	71	71
4813056	79	31
5213499	35	192
12405794	2	0
8608632	3	0
14529740	2	0
6268323	16	1
31888720	1	0
14939497	2	0
19797202	0	2
25538716	0	0
15026444	0	0
31991918	5	0
12177211	1	3
6206198	48	12
22387669	1	0
7158937	9	5
17534167	2	1
5125129	7	0
15797800	8	1
21071569	1	4
23681492	1	0
33709074	12	6
13771755	3	5
20802220	4	1
5772995	3	2
24942448	3	2
31945441	4	0
5719671	5	7
11529642	0	0
15466855	6	19
6820022	116	68
14115294	1	0
8052125	3	0
7853977	16	6
6707401	10	57
11906897	0	0
15056366	2	27
9217108	11	3
12008811	22	4
5790013	4	12
4823961	5	0
6558733	74	44
10852168	5	71
9374627	8	24
17040348	5	0
4754257	17	15
14491720	2	0
13888401	0	0
14651293	2	6
18058606	2	0
14275631	6	0
21771754	0	0
9940309	26	4
15246993	5	0
12158057	39	35
12134681	6	4
7219575	17	29
10281268	3	4
23482865	1	0
10098739	22	16
24729629	1	1
35374090	0	0
6018968	1	0
23364668	0	0
27747225	1	1
12035776	1	2
25555744	0	0
5243451	10	2
13201769	16	1
10513907	1	3
13736306	4	0
31387625	5	0
9974039	1	1
15565399	1	9
34664566	1	1
25242187	44	13
5655992	11	11
12419457	0	4
14765641	21	29
15161003	2	4
15711859	6	1
16393251	1	0
9333591	1	0
14022963	0	0
31120271	0	1
10787595	27	15
31016947	29	31
7441483	24	4
7016820	126	19
9690670	0	4
14619430	1	0
23866205	0	0
26810930	0	0
13418665	7	3
13254028	5	0
20236903	0	0
7259758	10	5
11052206	2	0
12542658	27	35
11248829	1	8
13817126	10	95
32783202	1	0
15949743	0	0
15966100	1	2
15701503	0	0
8608430	105	39
22691093	1	1
34972430	1	0
6926753	172	383
17334535	7	3
33951708	2	0
17464375	22	1
17945131	20	30
8681296	2	6
17412571	3	2
34880669	1	0
10801498	1	5
35483236	1	2
18618880	1	0
12923199	2	2
5212162	3	3
30106742	0	3
31966241	30	14
16853913	17	268
14692804	1	10
4742694	9	57
6332311	11	3
13309810	3	36
11874961	7	4
19701775	0	0
6906063	1	0
33784815	0	0
16385958	0	0
14666612	3	0
28795546	2	8
32646492	64	18
10729725	31	12
12103250	1	0
5519350	58	8
11797450	2	4
11633970	7	0
11588748	1	6
13007748	0	7
11378083	4	11
8586460	7	7
15467700	7	0
6901345	15	32
11139179	1	0
11143933	21	78
14548791	196	133
6623722	18	21
16349142	22	4
15174072	9	12
12506841	46	8
10882301	6	14
28509679	11	35
5860253	15	10
11404869	1	1
11388733	1	1
16249611	4	0
8473999	5	5
11703374	119	54
12021612	1	0
13098097	6	2
26415581	0	0
10315302	12	7
28545862	0	0
35475151	3	1
8412465	24	5
31313364	0	1
8867352	13	16
22916363	0	6
26201390	1	7
7887285	41	2
18817486	2	2
10798267	4	1
10813949	108	25
9465215	36	11
10670385	18	7
13719258	2	1
14356347	2	0
18153295	14	11
5629663	17	8
6869158	59	10
13374725	0	0
31222639	0	0
14476215	19	0
